gene,log2_fold_change,p_value,padj
QSOX1,-11.619875668037448,4.748384810051859e-07,0.0025824378838367407
SNORD104,8.697782801907014,1.1259027320056322e-06,0.0025824378838367407
SNORD68,10.045157671651298,1.1091587439651179e-06,0.0025824378838367407
SNORD58C,6.986428676002774,1.2205911022302303e-06,0.0025824378838367407
PHC2,1.4034315345948825,5.02087086030195e-07,0.0025824378838367407
SNORD36A,10.191056797329882,2.8312342712738735e-07,0.0025824378838367407
COL1A2,10.645480805490116,9.679836535196248e-07,0.0025824378838367407
FTL,13.24816926203492,9.92253771757302e-07,0.0025824378838367407
MIR3189,-10.056290154032709,8.889542208373691e-07,0.0025824378838367407
MIR24-1,11.820779549332618,6.244818274108482e-07,0.0025824378838367407
SELS,0.6973592658960124,7.449899906594899e-07,0.0025824378838367407
ABAT,0.9568197253336317,1.392139998762193e-06,0.0026999395159327103
FAM198B,1.0848139616073667,2.05387149827421e-06,0.0036769039522565918
PER1,2.598237353542375,2.438252495331603e-06,0.004053246451703742
SLC6A9,-1.6524881539724228,2.635806229336693e-06,0.004089541225023524
LHFP,0.6662085225332293,2.8901252415501556e-06,0.004203867796662298
VPS4A,0.43876976579968563,3.7740803335205557e-06,0.005141440782094331
MIR659,5.02385190994126,3.976536504863918e-06,0.005141440782094331
RAD1,0.7955365559402869,4.536144686175776e-06,0.0053023321093829835
ARHGEF2,-0.9764832042810472,4.556638258396411e-06,0.0053023321093829835
MIR93,-7.8667724484018935,5.81134301656708e-06,0.0061476084556620755
PNPLA2,1.0398224908471558,5.616048564293526e-06,0.0061476084556620755
DBP,-1.186114842046309,7.188567126509952e-06,0.007273892292837657
EMID1,-0.24080470794614917,7.511114387796774e-06,0.00728359021446643
GORASP1,0.5278171265505658,9.786674741401723e-06,0.007888902838164963
MORF4L2,1.0078626934643937,9.283676179386969e-06,0.007888902838164963
DUSP1,2.9010110169262058,9.589724037274516e-06,0.007888902838164963
MRPL49,-0.5074681640831482,9.830197323369738e-06,0.007888902838164963
RPS6KA5,-1.1300842578929715,9.510697270613857e-06,0.007888902838164963
CDIPT,0.8115254479553782,1.1185631593377801e-05,0.008397522712021986
NEXN,1.9913692055317949,1.0885458027218178e-05,0.008397522712021986
APBB2,1.01935760444848,1.3678778664086634e-05,0.009839747870409095
ANXA6,0.9215208342626067,1.3952291484703309e-05,0.009839747870409095
FLJ23867,-7.995301410415516,1.5242040535888364e-05,0.009853555816436942
MIR647,-5.719031409122569,1.4965303329721836e-05,0.009853555816436942
FPGS,0.6353921672667839,1.4801835111906642e-05,0.009853555816436942
DNAJB4,1.5100397468071414,1.5833851393438595e-05,0.009928022596257243
TP53BP1,-0.7059992185124315,1.6737319295434154e-05,0.009928022596257243
C5orf62,1.2223175780107303,1.6914095942088812e-05,0.009928022596257243
MT2A,2.22982099426752,1.7063588873385027e-05,0.009928022596257243
AIFM2,0.6494233569658276,1.8232585080876665e-05,0.010349437867981526
MIR4701,-8.057152972500692,2.1846458285917418e-05,0.012105538659241811
COX4NB,0.3664849150329963,2.3482417317734497e-05,0.012709448796177556
ANKRD40,0.3400533890095021,2.5456266849126554e-05,0.013165415519549384
MIR1914,8.611862297720116,2.534004728623192e-05,0.013165415519549384
AKAP7,0.6437510664519863,2.6036441395765356e-05,0.01317274131747059
PRR5L,0.8429823335160647,2.6976820524685984e-05,0.013358117958957806
VCAM1,-2.8346206937639353,2.8875001325739168e-05,0.013440158117078552
LOC100128239,-0.08505398661444001,2.8398138837234164e-05,0.013440158117078552
ATAT1,-0.24828055415279737,2.8015045052879767e-05,0.013440158117078552
FLJ90757,-0.4985763033108306,3.0458700215042648e-05,0.013702920338040993
SLC45A1,0.9949994608824912,3.191016821919289e-05,0.013702920338040993
MIR630,5.6556994944396894,3.238347521128581e-05,0.013702920338040993
HERPUD1,0.7517349166140361,3.18475559890392e-05,0.013702920338040993
LOC285033,0.45567181650561883,3.140902477062473e-05,0.013702920338040993
PYCR2,0.403123896505555,3.3948703238744805e-05,0.01391233119954316
UHMK1,0.649697794149608,3.407394312611009e-05,0.01391233119954316
SPARCL1,3.8841649635798596,3.611381621747351e-05,0.014490980083263121
FAM46B,1.2286610320983011,3.735679804461897e-05,0.014735673913430801
KCTD9,0.7986793215597467,3.984465633760889e-05,0.014982031266694763
NUFIP2,0.3484116350142945,3.9912599945648404e-05,0.014982031266694763
PREPL,-0.5910734811507115,3.89825133136194e-05,0.014982031266694763
ARPC5,0.8983231670091945,4.087892344703363e-05,0.015101193418774821
BRCA1,-0.8368060846135419,4.431843370541077e-05,0.016115982931656638
CBFA2T2,-0.41730152988346214,4.7638011886377476e-05,0.017056606932794816
DCUN1D3,0.6176075401811643,4.9296933374979896e-05,0.01738314440054405
FAM46C,-0.9371294325090298,5.5149762181400516e-05,0.01832934475517237
GPN3,0.6671594634502078,5.302819086799005e-05,0.01832934475517237
HEBP2,0.4423383950478419,5.662248617108428e-05,0.01832934475517237
RNPEPL1,0.5790665442950322,5.663307059330519e-05,0.01832934475517237
UBE2J1,0.4166268032029379,5.648894789953909e-05,0.01832934475517237
EGR2,-0.5102899746368278,5.6705745815855736e-05,0.01832934475517237
GXYLT2,-1.4678748104107733,5.7874867929343496e-05,0.018450983579720703
CCDC69,2.7732322177419513,6.007951300192373e-05,0.018643073414583614
C12orf29,0.5178368754316645,5.9383592469537166e-05,0.018643073414583614
TMEM119,-1.167477140570007,6.210953732975003e-05,0.01901941134572727
KLHDC5,0.9552891724409562,6.30896137077234e-05,0.019068630906751257
RELL1,0.8850048479681072,6.464945788696883e-05,0.019289574787223405
SNAP47,-0.35066827797026745,7.157812079785654e-05,0.019613940996016994
CCDC34,-0.8394991740161897,7.347376539077503e-05,0.019613940996016994
SLC39A1,0.3302945479569148,7.471574698056508e-05,0.019613940996016994
GALM,-1.024071041817916,7.711733196418547e-05,0.019613940996016994
TST,1.2208131014627743,7.733216663210228e-05,0.019613940996016994
TTC39C,0.7342858528372114,7.637263117096824e-05,0.019613940996016994
ZNF3,-0.3650493575473255,7.881847661327576e-05,0.019613940996016994
RAP2B,-1.0532250002668695,6.915853020411408e-05,0.019613940996016994
CEBPD,1.4829037390315287,7.918630162358933e-05,0.019613940996016994
STOM,1.425699870997402,7.390338714726469e-05,0.019613940996016994
GCAT,0.5882872664157675,6.716406257393975e-05,0.019613940996016994
WASF3,1.0137382023275334,6.844287881144106e-05,0.019613940996016994
ZNF561,-0.5321048153237444,7.570116767729815e-05,0.019613940996016994
QPRT,-1.1038453443278344,7.13509896463453e-05,0.019613940996016994
C2orf42,-0.31084712716451746,7.92210051830704e-05,0.019613940996016994
TIMP4,2.2515969584894977,7.051404716744426e-05,0.019613940996016994
STAT3,0.6157827281024852,8.130862663441383e-05,0.019918901764870666
AP1M1,1.0560915746957074,8.406198103037013e-05,0.02037890088041463
SLC25A25,0.42092843869408547,8.559368301967625e-05,0.020536307060999234
SNORA77,3.102737887513268,8.828112377894585e-05,0.020885527419479785
ASXL1,0.30286567229248584,8.884403448324233e-05,0.020885527419479785
C4orf42,-0.3854466257319831,9.159505428927759e-05,0.021316916984743573
ACVR1B,0.306452948918571,9.766031179837974e-05,0.022492176524866132
VPS8,-0.4271448445235233,0.00010051073598530819,0.022492176524866132
FKBP5,3.701070207860087,0.00010035490717176418,0.022492176524866132
FKRP,0.5950361037253789,0.00010045493333102957,0.022492176524866132
PAFAH1B3,-0.8731055810430173,0.00010311768043697522,0.022640167705752116
C5orf51,0.3823191688839529,0.0001026006428679883,0.022640167705752116
COL1A1,-1.3067261322274462,0.00011082768064319918,0.023898094785517816
ACSL1,1.5136799881029441,0.00011116227060230465,0.023898094785517816
SLC6A6,-1.6429290499662386,0.00011192765572214333,0.023898094785517816
C9orf3,1.0102163593141094,0.0001129747672513476,0.02390237962036921
ZNF79,-0.6068756115538612,0.00011442178248082766,0.023990433726813535
KLHDC3,0.5985037099082264,0.00011924797141061211,0.024343166783168408
WHAMM,0.4710178281305084,0.00012028806686135724,0.024343166783168408
MT1X,3.0661615429959217,0.00011966669794817923,0.024343166783168408
TIA1,-0.43575666899311116,0.00012028306223077587,0.024343166783168408
RAB11FIP4,-0.2618514222529497,0.00012886193278201878,0.024382529074667515
MARCH10,1.3237729597381103,0.00013093340577119943,0.024382529074667515
TCEAL4,1.5166488463303098,0.00012648215398151027,0.024382529074667515
SAMD4A,1.1547319847791009,0.0001250548769640248,0.024382529074667515
SGTB,0.6634596786771456,0.00012861167964471924,0.024382529074667515
RBPMS,0.7970050792405416,0.00013095931484266915,0.024382529074667515
ST6GALNAC6,0.3863089789072127,0.0001230078440425426,0.024382529074667515
RBM4B,-0.43878200132710354,0.00012490063124432274,0.024382529074667515
ANKRD13C,0.28559727365510357,0.0001295646425122141,0.024382529074667515
ANKMY2,-0.5679636501408845,0.00012724289077295164,0.024382529074667515
STEAP1,1.5674436447822808,0.00013437156742013824,0.024488780910730597
RAD51L3-RFFL,-0.13573541512271786,0.0001349866766127884,0.024488780910730597
MAVS,0.553248960859166,0.00013573895662287832,0.024488780910730597
C17orf96,0.3660809531272106,0.00013448935557650032,0.024488780910730597
MAOA,3.1137689920585125,0.00013756008405405715,0.0246264295091544
SLC25A32,0.7356458789683389,0.00014049602717167872,0.024960030842492206
DDA1,0.4439544440633605,0.0001432934356964303,0.025230298087029524
LIF,-1.4169400811411936,0.0001456703124245995,0.025230298087029524
SEPT8,-0.3134239956413376,0.00014527135744320756,0.025230298087029524
INHBE,-0.4603995395565803,0.000146353724992437,0.025230298087029524
FAM171B,-1.2504991986059868,0.00014778438556877377,0.025289602980456412
ANKLE2,0.3342284649603493,0.00015030401166856382,0.025305343725366764
CREB3L1,-0.9532063702493936,0.00014931441863660978,0.025305343725366764
C16orf74,-0.8745321718377872,0.00015113834820719202,0.025305343725366764
NOSTRIN,0.35621963678056423,0.00015509994486709143,0.02578315012065585
PTEN,-0.40236854248346,0.0001562975378597627,0.02579796169227133
LAMC1,0.8079072545697876,0.00015952398049531326,0.026145081676531165
MFAP4,-0.9615803489363905,0.0001610933825787397,0.02621766638290216
UBB,-0.4385042188460435,0.0001661044625382063,0.02672037830606132
ZNF445,-0.3509367489781996,0.00016647853110380662,0.02672037830606132
EXT1,-0.8327441185899183,0.00017309946756605534,0.026810577899710558
CDKN2B-AS1,-0.3028768797407362,0.0001850248065847083,0.026810577899710558
ZNF821,-0.8950522757655248,0.00018547256657299875,0.026810577899710558
LTBP1,0.7064544386936298,0.0001733828593097885,0.026810577899710558
ERRFI1,2.3545442903849043,0.00017021146246886965,0.026810577899710558
SMARCAL1,-0.23532871255984444,0.00017514686356531953,0.026810577899710558
BTN3A1,-0.8281313181985626,0.00017740958969952666,0.026810577899710558
GNG10,0.417496897350512,0.0001702061886287424,0.026810577899710558
PER3,-1.3556034497607639,0.00018272936226756996,0.026810577899710558
IKZF4,-0.4278544211075095,0.0001851126205040897,0.026810577899710558
TANK,0.5489018107216808,0.00018497072335818497,0.026810577899710558
TGFBR2,1.4551289758919062,0.0001824040738294763,0.026810577899710558
SIAH1,-0.16379201666568255,0.00018246265175888985,0.026810577899710558
C14orf132,-1.1014252508473268,0.00018545579465357404,0.026810577899710558
TRIM45,-1.1494090773426255,0.00018505019749086557,0.026810577899710558
ATP6V0D1,-0.3503762214708841,0.00017089075826456652,0.026810577899710558
OLAH,0.47175536783939886,0.00018798586439608934,0.027006142111667825
TSPYL1,-0.26325276560319555,0.0001978922045217979,0.027007786071693594
RAC3,1.1012536795410404,0.00019901478142972227,0.027007786071693594
C9orf100,0.7467817882442693,0.00019954445439256894,0.027007786071693594
SAT1,1.395939592609139,0.00019773677281741247,0.027007786071693594
PXMP2,0.7662835147560227,0.0001986722795031977,0.027007786071693594
KLLN,-0.3637260020413618,0.00020109669447374362,0.027007786071693594
CAPS2,-0.4444245379966535,0.00020192303426608884,0.027007786071693594
PACSIN2,0.5436240095786773,0.0001923027669269844,0.027007786071693594
GNB4,0.9198538615585852,0.00019854328936985002,0.027007786071693594
LHFPL2,-1.1635706781714772,0.00019961255113097164,0.027007786071693594
P2RX7,-1.0883226376438644,0.0001932874700368847,0.027007786071693594
CES2,-0.5297202277760804,0.00020064424640604727,0.027007786071693594
PRKAA1,0.8416339337731236,0.00020393293734837482,0.027120750005192727
GPNMB,-0.397637031048486,0.00020590509718282476,0.02722743935645387
MBIP,-0.4912340410983398,0.00020707929186470101,0.027228002031453032
RALBP1,0.5586651384444821,0.0002085135756945848,0.027262564309775684
PNRC2,0.4301528269895183,0.00021011462050093946,0.027298604024675346
ARPC4,0.4672130110457262,0.00021113516626311874,0.027298604024675346
REXO1,0.30767811905367237,0.00021444513010737058,0.027573378524800195
NPAS4,0.07698220568148893,0.00021567168192307832,0.027578720073603305
TUBE1,-0.4280108470980579,0.00022893981544783875,0.02804271749956606
GADD45B,1.3231879700688158,0.00022758873252273423,0.02804271749956606
CFLAR,1.1081199647763094,0.00022261723857827407,0.02804271749956606
PYGB,0.5733511586834741,0.0002258378373815205,0.02804271749956606
CDV3,0.7798859410852543,0.00022891866275314457,0.02804271749956606
SAP30,1.2355388215421108,0.0002284289515316962,0.02804271749956606
SNORD89,3.909953939910383,0.00022585752250741704,0.02804271749956606
FAM35A,0.3644293361158,0.00022508358247655123,0.02804271749956606
ZBTB22,-0.3190539549769549,0.00023119730727719202,0.02817096823173869
FAM78A,-0.2069038353034558,0.00023636803225054814,0.028651006325869827
LOC100507632,1.9766641514067986,0.0002475233293450156,0.02865975345197288
RCOR2,-0.6074322623668396,0.00023809337605844313,0.02865975345197288
